Product,Age,Gender,Education,MaritalStatus,Usage,Income,Fitness,Miles
KP481,24,Female,12,Partnered,4,56532,3,29
KP781,30,Male,13,Single,6,29166,4,97
KP481,24,Male,19,Partnered,5,69977,5,101
KP281,44,Female,18,Partnered,5,80597,2,190
KP281,49,Female,18,Partnered,4,78044,2,217
KP281,47,Female,15,Partnered,6,81383,1,282
KP481,32,Male,20,Single,6,61542,5,188
KP781,31,Female,17,Single,2,35911,5,175
KP281,36,Male,18,Partnered,3,87147,2,314
KP481,36,Male,12,Partnered,2,86453,1,348
KP281,20,Female,20,Partnered,4,64676,3,119
KP281,33,Male,16,Partnered,3,93663,4,149
KP481,43,Female,20,Single,4,104619,5,34
KP281,42,Male,20,Partnered,6,77066,4,141
KP781,35,Male,20,Partnered,2,85407,4,199
KP481,30,Male,15,Partnered,4,79746,4,134
KP481,26,Female,18,Partnered,2,81068,3,331
KP481,30,Female,13,Single,6,89493,4,130
KP281,26,Female,19,Single,4,29893,3,80
KP481,49,Male,19,Partnered,6,102217,2,294
KP481,26,Female,15,Partnered,4,92829,2,352
KP781,24,Male,15,Single,6,55804,1,119
KP481,47,Male,16,Partnered,3,77243,5,276
KP281,34,Male,19,Single,3,36133,1,219
KP481,44,Male,17,Partnered,4,44844,5,279
KP281,37,Male,17,Single,4,78974,5,28
KP481,40,Female,14,Partnered,3,89882,2,306
KP481,42,Male,16,Partnered,4,32045,1,316
KP781,44,Female,20,Partnered,2,91732,3,60
KP481,23,Female,14,Partnered,5,54870,3,63
KP481,25,Female,12,Partnered,5,70267,5,23
KP281,24,Male,19,Single,3,100106,3,103
KP781,20,Male,19,Partnered,2,99778,2,167
KP281,18,Male,20,Partnered,5,59436,1,297
KP781,29,Female,19,Partnered,6,91984,3,243
KP781,41,Female,18,Partnered,2,103766,5,301
KP281,40,Female,20,Single,2,43966,1,261
KP781,20,Female,16,Single,3,36256,3,241
KP281,21,Female,15,Single,5,90104,3,293
KP781,30,Female,16,Single,6,33262,4,147
KP281,34,Male,13,Partnered,4,43759,1,64
KP481,25,Female,16,Partnered,4,70502,5,202
KP281,39,Male,12,Single,3,90296,1,279
KP481,29,Female,12,Partnered,2,42401,5,335
KP281,38,Female,18,Partnered,6,90420,5,340
KP781,31,Female,16,Single,4,63679,5,113
KP781,23,Male,18,Partnered,4,95782,2,264
KP281,49,Male,12,Single,3,56948,3,329
KP481,18,Female,15,Partnered,2,69262,3,270
KP781,32,Female,14,Single,4,75340,3,355
KP481,20,Male,17,Partnered,6,56373,2,32
KP481,18,Female,12,Partnered,4,102652,3,259
KP281,38,Male,12,Partnered,3,37879,4,344
KP481,40,Male,14,Single,5,39050,2,36
KP281,27,Male,19,Partnered,4,100338,2,121
KP481,31,Female,13,Single,3,57588,3,335
KP781,27,Male,20,Single,4,53448,4,38
KP481,18,Male,15,Partnered,2,42054,5,293
KP281,41,Female,14,Partnered,3,95076,5,219
KP481,25,Male,16,Partnered,5,97831,3,279
KP481,28,Female,14,Partnered,4,40633,1,185
KP781,23,Male,19,Partnered,4,78755,3,61
KP481,35,Male,12,Single,2,90853,3,118
KP481,22,Male,15,Partnered,3,71581,3,146
KP481,44,Male,18,Partnered,3,32927,5,41
KP781,25,Male,17,Single,4,31668,3,27
KP781,47,Female,19,Partnered,4,103137,4,43
KP781,44,Female,18,Single,5,30990,1,50
KP481,32,Male,13,Single,4,94708,3,330
KP781,22,Male,15,Partnered,3,43887,1,351
KP481,45,Female,16,Single,3,84593,2,45
KP481,39,Male,17,Partnered,5,29629,1,287
KP481,44,Female,12,Partnered,4,53262,5,344
KP481,19,Female,14,Partnered,6,58365,5,26
KP281,20,Female,19,Partnered,2,80085,5,144
KP481,42,Female,20,Single,6,32006,1,280
KP781,46,Female,12,Partnered,3,89108,3,157
KP281,44,Female,13,Single,4,60804,3,319
KP281,19,Male,14,Partnered,5,98476,4,132
KP281,49,Female,13,Single,4,52386,3,340
KP481,40,Male,15,Single,5,74287,5,48
KP281,38,Female,14,Single,5,95701,3,197
KP481,22,Female,12,Partnered,5,39865,2,33
KP781,45,Female,18,Partnered,3,85348,2,308
KP781,44,Male,19,Partnered,4,64364,4,329
KP281,35,Male,13,Partnered,5,44784,2,74
KP781,19,Female,14,Partnered,3,84249,2,290
KP481,21,Male,18,Single,4,37853,5,207
KP281,31,Female,18,Single,4,35271,4,61
KP281,23,Male,17,Single,3,57985,4,154
KP481,44,Male,16,Partnered,2,33875,1,213
KP281,46,Male,13,Partnered,3,102441,1,53
KP281,36,Male,17,Partnered,3,67841,4,83
KP781,45,Female,16,Partnered,6,93099,1,356
KP481,32,Male,17,Partnered,5,55979,3,60
KP281,48,Female,17,Partnered,5,43331,3,159
KP781,42,Male,18,Single,3,99895,2,64
KP481,36,Male,19,Partnered,5,102489,3,231
KP281,34,Male,20,Partnered,3,43268,5,112
KP781,18,Male,19,Single,3,48132,1,250
KP781,18,Female,15,Single,4,54540,5,172
KP281,44,Female,18,Partnered,2,74530,5,323
KP781,44,Female,16,Partnered,4,46316,4,179
KP781,27,Female,13,Partnered,2,66141,2,339
KP481,24,Male,20,Partnered,3,102930,2,95
KP281,39,Male,14,Single,3,91819,5,33
KP481,27,Male,18,Single,5,78061,2,314
KP481,49,Female,13,Single,5,79495,3,344
KP281,39,Male,20,Single,4,35993,5,212
KP281,38,Female,14,Single,3,34875,1,190
KP781,25,Male,13,Partnered,4,89842,2,124
KP481,26,Male,14,Partnered,2,37811,1,194
KP281,35,Female,14,Single,3,54594,3,37
KP281,21,Male,19,Partnered,5,57810,2,26
KP481,35,Male,17,Single,6,104928,4,56
KP281,22,Male,20,Single,3,43646,3,239
KP281,31,Male,19,Partnered,4,68874,3,93
KP481,40,Female,15,Partnered,5,54498,4,77
KP281,39,Male,14,Single,2,44533,1,38
KP781,31,Male,19,Single,2,101842,1,237
KP781,49,Male,12,Partnered,2,35082,3,327
KP781,33,Male,18,Partnered,5,62963,3,98
KP481,49,Female,12,Single,4,85654,2,219
KP481,29,Male,16,Single,3,104205,2,49
KP281,47,Male,16,Partnered,5,37526,3,315
KP481,22,Female,17,Partnered,6,76715,2,152
KP281,37,Male,20,Single,3,55356,4,28
KP481,45,Female,14,Single,5,89784,2,348
KP781,45,Male,12,Single,3,47471,3,107
KP281,46,Female,18,Partnered,4,90125,1,304
KP481,43,Male,13,Partnered,6,92140,1,246
KP281,35,Male,13,Partnered,3,62856,4,203
KP281,19,Male,17,Single,6,83144,1,24
